index,dim1,dim2,dim3,dim4
0,0.0018739142,-0.022729445,0.012199566,0.2959774
1,-0.0035845302,-0.008369703,-0.004739687,-0.16579787
2,-0.0024602525,-0.00943673,-0.0037906766,-0.16067053
3,0.0054331385,-0.00034465268,-0.023937836,-1.5238159
4,-0.013606306,-0.02107482,0.0032715052,-1.136988
5,0.0068309233,0.027216088,-0.0111350715,1.7388844
6,0.0017345287,-0.021178294,0.0054700077,-0.44737107
7,0.0194006,-0.016233642,-0.002371177,0.29290235
8,-0.004865965,0.024640877,-0.024282724,1.7799569
9,-0.0038965158,-0.024350304,0.007502213,-0.8461262
10,-0.019282531,-0.07524045,0.049018785,0.9686711
11,-0.00816017,-0.033695493,0.015494853,0.6109036
12,-0.0068134386,0.025412109,-0.015509203,1.750643
13,0.0019100942,0.016188476,-0.0064026564,1.7115436
14,0.0022949912,-0.008654032,-0.010597929,-0.16378546
15,-0.010831129,0.005366903,-0.0097557455,0.051207416
16,-0.01260918,0.0031300746,-0.009337336,0.057752162
17,0.0038756467,-0.017744008,0.01215373,-0.47382158
18,-0.010462556,-0.0351439,0.012391701,0.6109278
19,-0.0031418912,-0.012195233,-0.009095058,-0.16742761
20,-0.011267383,-0.061540503,0.047074854,0.9505825
21,-0.009117793,-0.02870128,0.015182838,0.61594284
22,-0.010697704,-0.031603713,0.0064482987,0.6039863
23,0.012319434,0.029485162,-0.018687457,1.7462845
24,0.010839347,-0.02184074,0.0054106116,-0.4545771
25,-0.0048889928,-0.023120854,0.007964522,-0.8087839
26,-0.007924233,-0.027319912,0.00830023,0.6098074
27,0.014263857,-0.020021562,0.014995486,-2.2016883
28,-0.0036295168,-0.024327535,0.0062469095,-0.8270986
29,-0.008494798,-0.025611017,0.0041595697,0.604312
30,0.020126846,-0.021940403,0.007257983,-2.1972907
31,-0.013097551,-0.07171865,0.047470048,0.9722694
32,-0.008257758,-0.031863276,0.015282333,0.6156033
33,0.013707992,-0.021887857,0.0012576431,-2.1666303
34,0.0029288866,-0.020381708,0.009057507,-0.4272316
35,-0.0078163855,0.0071305595,-0.011176407,0.054793812
36,-0.013613928,-0.0648914,0.049366012,0.9623225
37,0.009913258,0.033166375,-0.019353867,1.7397201
38,-0.008925971,0.0064655207,-0.011072695,0.054300524
39,0.0014197119,-0.01618408,0.013302624,-0.43148565
40,-0.011387225,0.0012779795,-0.008694664,0.050937265
41,-0.002015736,-0.0068672635,-0.009036228,-0.16177587
42,0.017893072,0.020408813,-0.0071196854,1.7118899
43,-0.011030357,0.005544927,-0.010350794,0.049756356
44,0.010024358,0.042317558,-0.016476214,1.7514393
45,0.010900211,-0.01704716,0.020055726,-2.220639
46,0.0075627454,-0.016853932,0.008360311,-0.45411485
47,-0.005522337,-0.025634546,0.0047451705,-0.8135435
48,0.013726536,-0.018446032,-0.002826646,0.29551774
49,0.01049507,-0.019246776,0.014896423,-0.47722924
50,-0.002804216,-0.021526415,0.012636498,0.28120738
51,-0.0031724833,-0.024188478,0.009409592,-0.82139087
52,0.009146068,-0.020004656,0.012596816,-2.2078557
53,-0.0056473576,-0.0088763125,-0.007134348,-0.16413896
54,-0.011494476,-0.025377337,0.0065305084,0.6037936
55,0.005164314,-0.021969844,0.0079603195,-0.44426233
56,-0.0033978932,-0.011148203,-0.002909854,-0.17964005
57,-0.00951324,-0.030218337,0.014718458,0.6290522
58,-0.013303738,0.0031502806,-0.009038299,0.058183208
59,-0.0030630343,-0.01159944,-0.011876762,-0.15736274
60,-0.00630204,-0.0127977915,-0.0068436563,-0.17140646
61,0.004644353,-0.0037785657,-0.028802752,-1.5158571
62,-0.004432123,-0.010761771,-0.0054364055,-0.16476971
63,0.0077065416,-0.00022118166,-0.02285675,-1.5222793
64,-0.0063128285,-0.012259606,-0.01107578,-0.16795832
65,-0.01522639,-0.012674514,0.012760028,-1.1397672
66,0.010993365,-0.021777827,0.0072893053,-0.45299172
67,0.00020097569,-0.019114334,0.014664248,-0.4583779
68,0.0041744,-0.016009588,0.012825131,-0.44704324
69,-0.009902667,0.0039387755,-0.01033631,0.056744397
70,0.0076955445,0.031195384,-0.013286725,1.737262
71,-0.01526786,-0.019393537,0.011650547,-1.0990802
72,0.0027844496,-0.019000936,0.002481714,0.2894615
73,0.0047143437,-0.022712816,-0.0029865652,0.30928248
74,-0.012230556,0.004893046,-0.0092268735,0.049291804
75,0.017008577,0.022681545,-0.01535511,1.7360382
76,-0.002304133,-0.018170644,0.013941869,-0.837563
77,-0.0037931763,-0.025629807,0.009893462,-0.7947228
78,0.0009778328,-0.017769475,0.016318962,-0.45813155
79,0.010070402,0.024905171,-0.0050093383,1.7150676
80,0.007854801,0.0006546043,-0.021243304,-1.5136344
81,-0.003000658,-0.02703828,0.005792573,-0.80884135
82,0.0032129027,0.00041901693,-0.02227959,-1.5119213
83,-0.021481011,-0.069189474,0.04815471,0.9598603
84,-0.0037141256,-0.023594934,0.0046827346,-0.82729155
85,0.0066884644,0.024237063,-0.009605989,1.734267
86,-0.0041226707,-0.02348997,0.012330115,-0.79783994
87,-0.0036185198,-0.02275147,0.0082338005,-0.7992959
88,0.014490258,0.04596695,-0.018504024,1.7409723
